country,country_code,region_wb,income_level,hut_daly_per_usd,hut_usd_per_usd,unit,capital,pathway,source
Puerto Rico,PRI,Latin America & Caribbean,High income,0.0,0.0,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Qatar,QAT,Middle East & North Africa,High income,1.1990154623647996e-06,0.07127667317573788,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Romania,ROU,Europe & Central Asia,High income,9.328351101672947e-06,0.55453315959005,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Russian Federation,RUS,Europe & Central Asia,Upper middle income,7.580396206560916e-06,0.4506242328952202,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Rwanda,RWA,Sub-Saharan Africa,Low income,1.7970908277206395e-06,0.10682986134468114,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Saudi Arabia,SAU,Middle East & North Africa,High income,3.601634960936517e-06,0.21410279188783218,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Senegal,SEN,Sub-Saharan Africa,Lower middle income,3.6387630996416036e-06,0.21630991122129478,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Serbia,SRB,Europe & Central Asia,Upper middle income,5.897115472332281e-06,0.3505599263682648,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Seychelles,SYC,Sub-Saharan Africa,High income,6.066228400569482e-06,0.36061301350025343,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Singapore,SGP,East Asia & Pacific,High income,6.280426099585743e-06,0.37334620991597406,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Slovak Republic,SVK,Europe & Central Asia,High income,1.2589369642898753e-05,0.7483876677917592,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Slovenia,SVN,Europe & Central Asia,High income,3.230657916995385e-05,1.9204969053370766,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2.1070165845273004e-05,1.252537078838099,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,3.3711011947008864e-06,0.2003984816201889,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Spain,ESP,Europe & Central Asia,High income,3.9611721917165645e-05,2.354758421087829,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Sri Lanka,LKA,South Asia,Lower middle income,1.050848499705085e-05,0.6246873991346849,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Sudan,SDN,Sub-Saharan Africa,Low income,2.6764543091183676e-06,0.15910450285985048,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Sweden,SWE,Europe & Central Asia,High income,2.8259374824732546e-05,1.679906795831051,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Switzerland,CHE,Europe & Central Asia,High income,1.7603052974724092e-05,1.0464310871354483,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2.19403448088606e-06,0.1304265737507527,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2.6477041470403895e-06,0.157395420724963,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Thailand,THA,East Asia & Pacific,Upper middle income,6.8947446693377124e-06,0.40986499161344964,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Togo,TGO,Sub-Saharan Africa,Low income,4.401986431561274e-07,0.026168048541059148,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Tonga,TON,East Asia & Pacific,Upper middle income,9.51518923415281e-06,0.565639939213448,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Tunisia,TUN,Middle East & North Africa,Lower middle income,1.2106936098679444e-05,0.7197089233220982,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Turkey,TUR,Europe & Central Asia,Upper middle income,2.058910833998238e-05,1.2239401343785925,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,4.821256306080678e-06,0.286604402371272,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Uganda,UGA,Sub-Saharan Africa,Low income,1.951268410969747e-06,0.11599510195850758,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Ukraine,UKR,Europe & Central Asia,Lower middle income,2.9342644340033855e-06,0.17443028354376525,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
United Kingdom,GBR,Europe & Central Asia,High income,4.3007564935496e-05,2.556627705155495,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
United States,USA,North America,High income,1.9800781678035468e-05,1.1770772676324963,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Uruguay,URY,Latin America & Caribbean,High income,3.907462464573567e-05,2.3228301366904027,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,4.694802252813623e-06,0.27908721472075865,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1.0910257282656731e-05,0.6485711544248121,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Venezuela, RB",VEN,Latin America & Caribbean,0,1.8564987681481266e-05,1.1036142577133354,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Vietnam,VNM,East Asia & Pacific,Lower middle income,1.0101006256789429e-05,0.6004644179411044,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,0.0,0.0,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
